year,map_vintage,state,state_code,district,district_note,at_large,statewide_baseline,races_used,offices_used,senate_races,statewide_races,stateleg_races,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,lean_house_pct,lean_statewide_pct,lean_senate_pct,weight_house,weight_statewide,weight_senate,sources_used
2006,2000s,Florida,FL,FL-11,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,1.97,D+2.0,8.28,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-12,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-13,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-4.61,R+4.6,-11.48,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-14,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-9.39,R+9.4,-25.79,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-15,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-6.69,R+6.7,-17.69,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-16,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-4.28,R+4.3,-10.47,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-17,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-18,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-8.63,R+8.6,-23.52,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-19,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-20,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-21,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.75,R+7.7,-20.88,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-22,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-3.95,R+4.0,-9.48,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-23,,False,True,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-1.18,R+1.2,,-6.53,4.16,0.0,0.5,0.5,statewide+senate
2006,2000s,Florida,FL,FL-24,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.24,R+7.2,-19.34,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Florida,FL,FL-25,,False,False,2,senate; governor,1,1,0,5068837,4345972,207996,9622805,53.84,46.16,52.9,-7.42,R+7.4,-19.88,-6.53,4.16,0.334,0.333,0.333,house+statewide+senate
